frame,traj_ids,x_coords,y_coords,z_coords
1.0,90,238.9868927001953,785.5294799804688,636.0
1.0,86,48.44704055786133,54.66418457031251,559.0
1.0,91,489.0023803710938,973.944091796875,664.0
1.0,75,136.52386474609378,244.61564636230472,562.0
1.0,92,50.81904602050781,201.5430908203125,685.0
1.0,82,110.95062255859376,857.4296875,581.0
1.0,85,222.34358215332034,906.56689453125,581.0
1.0,84,196.65789794921875,893.1423339843751,600.0
1.0,77,769.5503540039062,746.0418090820312,509.00000000000006
1.0,76,805.251953125,626.1395263671876,493.00000000000006
1.0,87,1017.9367675781249,421.15524291992193,657.0
1.0,81,522.9954833984375,602.5733642578126,630.0000000000001
1.0,88,35.00473785400391,520.6549072265626,629.0
1.0,78,547.5669555664064,878.120361328125,639.0
1.0,83,136.05120849609378,339.5104064941406,623.0
1.0,89,342.05090332031256,31.634279251098636,609.0
1.0,80,361.0649719238282,966.0535278320311,584.0
2.0,90,238.97328534807477,787.3024047851563,635.9428571428572
2.0,86,48.0003536769322,57.1802105494908,588.7142857142858
2.0,91,489.33081054687506,977.496426827567,656.7714285714286
2.0,75,136.63786926269535,251.02534005301345,573.6
2.0,92,51.103846304757255,206.41297781808038,685.9428571428572
2.0,98,958.5098876953124,17.519289016723633,615.0000000000001
2.0,82,110.95754808698383,862.0555140904019,582.257142857143
2.0,85,222.7652531215123,909.2316336495536,581.8285714285714
2.0,84,196.03751177106585,895.9837890625001,597.3142857142858
2.0,77,769.3050153459823,751.310107421875,508.31428571428575
2.0,76,805.7750871930804,633.4716169084821,479.54285714285714
2.0,87,1018.100298200335,424.5320983886719,635.257142857143
2.0,81,523.1552280970982,606.9580130440847,628.9714285714286
2.0,88,34.935104261125836,522.4824584960937,641.7428571428571
2.0,78,547.6972638811385,882.8722150530133,633.5428571428572
2.0,83,135.19456089564733,344.4912562779018,621.0571428571429
2.0,89,342.02632969447546,35.571854836600174,610.5142857142857
2.0,80,360.6590959821429,971.4197230747768,577.2285714285714
2.0,96,718.5533447265625,264.5606079101563,506.00000000000006
2.0,97,879.5059814453125,17.74229240417481,560.0
3.0,90,238.9013135637556,789.8883527483258,637.0571428571428
3.0,86,47.92278322492327,59.643842097691135,599.9428571428572
3.0,104,381.9522094726562,431.9805603027344,618.0
3.0,91,488.98160226004467,982.8469168526785,650.2857142857143
3.0,75,136.26903817313058,257.5710375104632,574.3142857142857
3.0,92,51.168092019217355,211.02396806989398,686.7142857142857
3.0,98,958.1575491768974,21.46688052586147,609.0285714285715
3.0,82,110.9846910749163,866.4428205217633,585.2857142857143
3.0,85,222.7021275111607,912.4432617187501,580.9142857142857
3.0,84,195.64409877232143,899.6170741489956,593.1714285714286
3.0,77,769.120148577009,756.2287719726563,508.2857142857143
3.0,76,806.238201032366,639.5590366908483,472.17142857142863
3.0,103,6.704086780548096,5.300955295562746,608.0000000000001
3.0,87,1017.9185982840403,428.55625784737725,629.7142857142858
3.0,81,523.2124162946429,611.5905482700894,626.8571428571429
3.0,102,276.93869018554693,942.6719970703125,582.0000000000001
3.0,88,35.17540719168527,524.4958740234375,647.9714285714286
3.0,101,505.80368041992193,216.0769958496094,508.00000000000006
3.0,78,547.6911202566964,888.1521292550224,635.0571428571428
3.0,83,134.72940368652343,349.4046264648438,619.0285714285715
3.0,89,342.2185729980469,39.2792399270194,614.0
3.0,80,361.18129795619416,976.2589547293528,574.8857142857142
3.0,96,717.915257045201,271.59257202148444,510.08571428571435
3.0,97,880.2802176339286,23.362861742292136,594.6285714285715
4.0,90,239.14686322893414,792.3864815848215,638.6
4.0,86,47.87305177961077,61.78438448224749,601.4857142857144
4.0,104,352.53090384347104,435.1661882672991,617.3142857142857
4.0,91,488.7700430733817,989.382803780692,651.2857142857142
4.0,75,135.74454258510048,263.9525569370815,566.8285714285714
4.0,92,51.23071005684989,215.4503758021763,686.0857142857144
4.0,98,958.4475394112724,25.64044995989119,601.9142857142857
4.0,82,111.12709808349611,870.5829938616071,580.3714285714286
4.0,85,222.2685974121094,916.2488263811385,577.4
4.0,84,195.28892211914066,903.8126429966519,591.0285714285716
4.0,77,769.417698451451,761.1538417271206,507.79999999999995
4.0,76,806.3630754743303,646.0574183872768,472.0285714285714
4.0,103,7.829938098362515,10.186265700204034,617.5142857142857
4.0,87,1017.878768484933,432.8379176548549,629.5714285714286
4.0,81,523.1444440569196,616.2389840262276,626.6857142857143
4.0,102,277.0688398088728,947.0280604771206,621.0571428571428
4.0,88,35.261511993408206,527.0595615931919,647.9428571428572
4.0,101,506.2359139578683,223.04824872698103,509.2000000000001
4.0,78,547.8069423130581,893.8434605189734,636.342857142857
4.0,105,907.9998779296875,98.57595825195314,508.0
4.0,83,134.57420785086495,354.6443568638393,618.4857142857143
4.0,89,342.2671752929688,43.043281337193086,617.4857142857144
4.0,80,360.9436706542969,981.0006051199776,579.2
4.0,96,717.7771589006696,278.36168474469866,510.7142857142857
4.0,97,880.7214739118303,29.46488783700126,624.1142857142858
5.0,90,239.26427655901227,795.0270193917411,638.5714285714286
5.0,86,47.55497491019112,64.32905938284738,600.3142857142858
5.0,104,343.3228716169085,437.86477922712055,617.0285714285715
5.0,91,488.62445155552456,995.5582502092635,651.2
5.0,75,135.385393851144,270.2263575962612,561.0
5.0,92,51.423846435546885,220.1485386439732,688.1428571428572
5.0,98,958.9348842075892,29.610520880562923,600.0285714285715
5.0,82,110.98106929234096,874.2824550083707,572.2857142857142
5.0,85,222.15532967703683,919.5552891322545,575.6285714285715
5.0,84,195.02425013950892,908.1327165876116,590.9714285714286
5.0,77,769.996498325893,766.2979195731027,505.91428571428577
5.0,76,806.0244977678573,653.1626255580358,477.1142857142858
5.0,103,8.795324965885708,16.315229974474228,621.9142857142856
5.0,87,1017.6930175781249,437.3030447823661,623.6285714285714
5.0,81,522.9080025809152,621.2168317522322,626.4571428571428
5.0,106,606.4780883789061,950.7625122070314,709.0
5.0,102,277.45843331473213,951.5719709123886,620.8571428571429
5.0,88,35.20248532976423,529.8898071289063,644.6571428571428
5.0,101,506.3043753487724,228.87380894252234,508.9714285714286
5.0,78,547.8689714704242,899.6071672712054,636.5142857142857
5.0,105,907.6513201032367,104.71636941092353,519.8285714285714
5.0,83,134.50250374930246,359.74595424107144,622.2
5.0,89,342.2213997977121,46.515285382952015,619.0
5.0,80,359.9198006766183,985.737979561942,567.6857142857143
