frame,x,y,z,vx,vy,vz,diameter
3.0,276.93869018554693,942.6719970703125,582.0000000000001,-0.17070515950507925,4.133646647135862,59.00000000000027,13.957279205322266
4.0,277.0688398088728,947.0280604771206,621.0571428571428,0.36856079101573513,4.569239298503049,19.333333333333584,10.82303237915039
5.0,277.45843331473213,951.5719709123886,620.8571428571429,0.4836095174154913,4.761215209961378,-21.499999999999673,12.205286979675293
6.0,277.5039794921875,957.2299560546876,617.2571428571429,-0.394757588704298,6.069178263346913,10.250000000000291,13.061933517456055
7.0,277.2194030761719,962.7222586495536,614.2571428571429,-0.30513254801418555,5.545476277669749,-1.583333333333023,10.585134506225586
8.0,276.8022487095424,968.3880214146205,620.1142857142858,-0.2916742960610712,5.091705322266108,-3.1666666666663588,12.766153335571289
9.0,276.49791346958705,973.6959524972099,622.3428571428572,-0.4343541463215068,6.0311584472660655,20.08333333333362,10.524820327758789
10.0,276.43862566266745,979.5788731166294,639.8857142857142,0.35981496175139327,5.467519124349437,4.916666666666998,10.341766357421875
11.0,277.00396118164065,985.063956124442,628.2,0.7350769042970136,5.549123128255687,-17.833333333333023,10.155412673950195
12.0,277.57506365094866,990.3999215262278,625.2857142857143,0.3489379882813779,5.19468180338589,-0.4999999999997655,11.396071434020996
13.0,277.5634129115514,995.6711094447546,625.1714285714286,-0.3682581583657587,5.263702392578722,12.833333333333606,9.507891654968262
14.0,276.98986816406256,1001.1069946289062,625.0,-0.7305857340493525,5.650349934896354,-18.66666666666636,10.092530250549316
