frame,x,y,z,vx,vy,vz,diameter
74.0,504.2443542480469,603.4890747070314,538.0,-0.6640167236325567,4.790903727213873,1.9895196601282805e-13,12.46335506439209
75.0,503.6285522460938,608.5036603655134,541.3142857142857,-0.5763295491533853,5.231501261393518,5.250000000000291,13.303394317626953
76.0,502.9481951032367,613.8978201729911,541.3714285714286,-0.6572825113930065,5.617513020833641,-1.4999999999997797,14.625465393066406
77.0,502.78339059012285,619.4989292689733,543.5714285714286,0.08742523193381402,5.530858357747647,0.9166666666668633,13.061933517456055
78.0,502.76867414202013,625.0767246791295,543.8,0.12258911132840211,5.560343424479477,4.250000000000256,14.668929100036621
79.0,502.56281738281257,630.3925798688616,546.1428571428571,-0.7068913777666666,5.155314127604477,-3.249999999999744,14.04820728302002
80.0,502.0318899972098,635.336408342634,540.6857142857143,-0.30119323730446723,4.750467936198284,-4.4166666666664085,13.587484359741211
81.0,501.92683367047994,640.550106375558,540.4285714285713,0.09022013346381641,5.5947163899742876,1.1666666666668846,12.565098762512207
82.0,501.83972865513397,646.2378173828125,542.5999999999999,-0.25263722737604155,5.929397583008161,5.66666666666692,13.540550231933594
83.0,501.40328979492193,651.9954223632812,546.0000000000001,-0.6299133300779047,5.481567382812848,-0.16666666666642982,14.18350601196289
