frame,x,y,z,vx,vy,vz,diameter
4.0,907.9998779296875,98.57595825195314,508.0,-0.8207397460933095,5.835500081380255,39.00000000000024,15.18078899383545
5.0,907.6513201032367,104.71636941092353,519.8285714285714,0.05937703450561571,6.332725524902404,-11.749999999999758,13.8197660446167
6.0,907.8092843191964,110.7247735159738,499.51428571428573,0.437784830729683,5.917413711547901,-36.74999999999976,15.997535705566406
7.0,908.172825404576,116.51082938058036,480.0571428571429,0.056935628255686765,5.480113347371475,4.500000000000242,16.736568450927734
8.0,907.874103655134,122.43253849574499,491.97142857142865,-0.41166178385368823,6.407075246175195,17.50000000000024,16.15593147277832
9.0,907.8617937360491,128.71110556466238,502.5142857142858,0.06822713216193677,6.287027359008844,2.0833333333335773,15.18078899383545
10.0,907.8076468331474,135.1235842023577,493.9428571428571,0.14765930175836672,6.287937800089587,-17.83333333333305,15.63528060913086
11.0,907.5362269810267,141.37064121791298,480.94285714285706,-0.8283538818353833,6.38755544026699,-8.499999999999723,16.698486328125
12.0,907.348842075893,147.56411917550224,487.37142857142857,0.22940572102920953,5.89332962036141,19.083333333333556,16.468151092529297
13.0,906.7713535853796,153.46396745954243,489.28571428571433,-0.7456410725905442,5.939755757649802,-6.99999999999978,15.347616195678711
14.0,906.7089163643974,159.2824929373605,489.74285714285725,-0.26286824544210674,5.845465342203852,-4.999999999999744,16.85029411315918
15.0,906.0948277064732,165.7846139090402,488.6857142857143,0.045043945312940536,6.819140116373788,14.250000000000256,15.675944328308105
16.0,906.6184884207589,172.16583862304688,496.3714285714286,0.030420939128092073,6.357645670573007,-4.999999999999744,15.7569580078125
17.0,906.5192749023438,178.13555690220426,493.20000000000005,0.5293528238937455,5.296950022379653,2.2026824808563106e-13,15.716503143310547
18.0,906.9142142159599,184.2202902657645,496.2,-0.3688201904291617,6.8277448018392874,4.833333333333577,15.917746543884277
19.0,906.1639875139508,190.65975690569198,490.99999999999994,-0.6318257649735131,6.365792592366635,-11.333333333333073,15.594510078430176
20.0,905.4890781947546,196.7156441824777,483.34285714285716,-0.8649851481115007,5.441300710042416,-8.499999999999758,17.03815269470215
21.0,906.0054949079241,202.6947012765067,483.7428571428572,1.5399627685550996,6.542916615804149,11.916666666666849,16.390653610229492
22.0,906.2309047154018,208.88450448172435,488.37142857142857,-0.33182271321554424,6.015103658040477,-1.8333333333330515,15.997535705566406
23.0,905.5413051060267,214.47610604422437,485.9428571428571,-1.804097493489067,5.044445037841914,-6.499999999999723,16.390653610229492
24.0,904.9903041294643,219.95079476492748,480.8571428571429,1.0535634358728032,5.950314839681106,0.2500000000002416,16.27371597290039
25.0,905.7101318359374,226.2460091727121,483.7142857142858,0.48573811849003334,6.729904174804798,3.3333333333335133,16.390653610229492
26.0,905.54931640625,233.0286102294922,490.0,-0.9471740722650708,6.730489095052203,9.500000000000277,15.716503143310547
