frame,x,y,z,vx,vy,vz,diameter
68.0,819.0112915039061,150.37062072753906,330.00000000000006,0.9563191731774623,7.646430969238354,9.00000000000016,35.197471618652344
69.0,819.2974086216518,157.61607404436384,343.8285714285714,-0.31203206380163806,6.902853647867925,17.750000000000124,35.6289176940918
70.0,818.5533150809152,164.3437207903181,361.34285714285716,-1.209167480468409,6.507734934489008,19.416666666666863,33.68169403076172
71.0,818.5457798549107,171.52596435546874,380.1428571428571,0.9200846354170551,7.762199401855554,14.916666666666877,32.01496124267578
72.0,818.9409388950894,179.08927089146206,388.7142857142858,0.4015452067061176,7.62381998697926,6.333333333333485,29.424528121948242
73.0,818.8496198381697,186.6953308105469,399.65714285714284,-1.154846191405909,7.193050384521587,11.166666666666856,30.34060287475586
74.0,817.7611101422992,193.5296120779855,413.0857142857143,-0.5878550211584184,6.906121571858833,19.333333333333556,27.777385711669922
75.0,817.6067225864956,200.76060529436384,426.02857142857147,0.05402119954467821,7.226988474528085,6.0833333333335275,26.892379760742188
76.0,817.7221575055803,208.37526419503348,436.85714285714283,0.34602864583366966,8.266938527425236,13.91666666666687,26.46283721923828
77.0,817.8687133789062,216.62628173828128,457.0,-0.15703328450477727,8.08547719319673,27.16666666666689,24.410573959350586
