frame,x,y,z,vx,vy,vz,diameter
68.0,1015.881042480469,269.3836975097656,499.00000000000006,1.4355265299483904,5.8724060058594745,-8.999999999999758,10.341766357421875
69.0,1016.6125296456473,275.4784197126116,496.4285714285715,0.19327290852908163,6.30891164143895,3.33333333333357,10.881694793701172
70.0,1017.0898210797992,281.93744594029016,503.45714285714286,0.32627360026100405,6.675768534342566,12.166666666666941,10.524820327758789
71.0,1017.5124494280136,288.66728428431924,512.4857142857143,0.8447875976567332,6.667376200358209,4.166666666666941,10.524820327758789
72.0,1017.5598894391741,295.1258396693638,512.7428571428572,-0.8015645345047631,6.309125264485822,-3.583333333333094,10.403141975402832
73.0,1016.7980416434153,301.37431030273444,505.8857142857143,-0.783035278319872,6.012626647949347,-8.41666666666643,10.524820327758789
74.0,1016.5740094866073,306.7271650041853,502.2285714285714,0.4335581461594131,5.064643859863455,0.6666666666669272,11.05581283569336
75.0,1016.9848318917412,312.2692278180804,510.3428571428572,0.40098063151089036,5.613054911295709,16.166666666666906,10.585134506225586
76.0,1017.2377458844867,318.07615530831475,532.5142857142857,-0.035832722981254506,6.46780904134129,22.91666666666687,9.166996002197266
77.0,1016.9577078683037,324.6447893415178,531.4571428571429,-0.36100260416618823,6.278648376465007,-16.333333333333073,9.027033805847168
78.0,1016.9186157226563,330.87104928152905,519.4857142857143,0.06930033365929944,6.3719406127931215,-18.916666666666444,11.17038345336914
79.0,1016.763556780134,337.029532296317,507.3142857142857,-0.04579671223910964,5.881627400716297,5.666666666666885,10.464158058166504
80.0,1016.9186244419643,343.1939653669085,508.00000000000006,0.001144409180284356,6.375272115071795,-8.833333333333059,10.82303237915039
81.0,1017.0594464983258,349.4824236188616,500.5714285714286,0.48211161295617444,6.3422215779623805,-3.249999999999723,10.881694793701172
82.0,1017.0222569056918,355.67565482003346,517.5428571428572,-0.5181579589839771,5.9097646077475865,29.083333333333556,10.940041542053223
83.0,1016.8264753069196,361.5976850237165,529.9142857142856,-0.03515116373638705,6.003672281901231,4.666666666666892,9.44069766998291
84.0,1017.273376464844,367.5999755859375,510.99999999999994,1.007364908854683,5.995223999023626,-45.99999999999972,10.464158058166504
