frame,x,y,z,vx,vy,vz,diameter
67.0,522.3968505859375,914.5133056640625,618.0000000000001,0.663075764974252,5.23383585612028,-9.833333333333002,9.027033805847168
68.0,522.8947317940848,919.4320434570313,614.5142857142858,0.3266194661460915,4.677586873372846,2.083333333333627,9.507891654968262
69.0,523.0914498465403,924.3526925223215,619.9714285714286,-0.01191202799456903,4.848770141602159,9.500000000000327,8.444016456604004
70.0,522.9001011439732,928.5239397321429,619.9714285714285,-0.30023701985655293,4.034154256185303,-8.416666666666416,8.29185962677002
71.0,522.2660766601563,933.0781459263392,611.7714285714285,-0.7939503987627461,4.423894246419721,-10.166666666666373,9.574614524841309
72.0,522.2569178989955,937.208314732143,608.1714285714286,0.5480600992841147,4.691126505534456,5.166666666666998,9.901487350463867
73.0,523.3135620117189,942.7376168387277,613.4571428571429,1.7226308186850972,5.450180053711492,5.333333333333684,9.373021125793457
74.0,524.5896013532366,947.8711460658484,621.6857142857143,0.6160939534507577,5.725758870443158,6.916666666666941,9.706685066223145
75.0,524.4140119280133,953.6952636718751,618.5142857142857,-0.8426818847653266,5.239288330078651,-9.833333333333023,9.027033805847168
76.0,523.7014055524553,959.7029401506696,598.9714285714285,-0.6917572021482172,7.1563466389979595,-32.24999999999972,10.998079299926758
77.0,523.3944091796875,967.0832519531251,565.0,0.18630981445332395,7.411844889323362,-32.833333333333094,13.7736234664917
