frame,x,y,z,vx,vy,vz,diameter
49.0,522.4830322265625,828.9884643554688,622.0000000000001,-0.15761311848934412,5.082112630208741,2.833333333333684,8.519076347351074
50.0,522.8856549944196,833.8562133789063,622.8857142857144,0.7541910807294059,4.6757609049483335,-0.7499999999996874,8.21472454071045
51.0,523.040469796317,838.4234584263393,622.3714285714285,-0.019363403320070915,4.415003458659299,-1.4999999999997087,8.368284225463867
52.0,522.8577043805803,843.0000191824777,619.0285714285716,-0.7682698567705941,4.780273437500455,-3.0833333333330586,8.444016456604004
53.0,522.430092075893,847.9019287109375,618.2285714285715,0.1574961344403789,5.029978434245223,-0.33333333333302306,8.956232070922852
54.0,522.3039097377233,852.8796369280134,620.3142857142858,-0.3733927408851585,4.965942382813026,5.666666666666977,8.667244911193848
55.0,521.971409388951,858.2208356584821,624.7428571428571,-0.3868815104164298,5.4790496826176565,2.250000000000256,8.21472454071045
56.0,521.9478376116072,863.1459647042411,624.4857142857143,0.41777547200543097,4.724349975586392,-2.499999999999652,8.136857986450195
57.0,522.4894723074777,867.8444771902901,621.6857142857143,0.6548868815106559,4.318511962891051,-3.3333333333330444,8.593480110168457
58.0,523.1376953125,872.5556640625,619.0,0.594055175781449,5.27454630533893,-1.6666666666663943,8.812923431396484
